iso3,country,year,summary_abs_red,draw_mean_abs_red,available_draws,mean_minus_summary,absolute_difference
GTM,Guatemala,2016,3.0,2.6914398956298826,100,-0.3085601043701174,0.3085601043701174
GTM,Guatemala,2017,3.1,2.7361006546020508,100,-0.3638993453979493,0.3638993453979493
GTM,Guatemala,2018,3.2,2.9726453399658204,100,-0.2273546600341798,0.2273546600341798
GTM,Guatemala,2019,3.3,2.868006477355957,100,-0.431993522644043,0.431993522644043
GTM,Guatemala,2020,3.4,3.1111159133911133,100,-0.28888408660888665,0.28888408660888665
GTM,Guatemala,2021,3.6,3.483025016784668,100,-0.11697498321533217,0.11697498321533217
GTM,Guatemala,2022,3.6,3.521694107055664,100,-0.0783058929443361,0.0783058929443361
GTM,Guatemala,2023,3.7,3.6833261108398436,100,-0.016673889160156552,0.016673889160156552
HND,Honduras,1990,-0.2,0.27980037689208986,100,0.4798003768920899,0.4798003768920899
HND,Honduras,1991,-0.3,-0.036916351318359374,100,0.26308364868164064,0.26308364868164064
HND,Honduras,1992,-0.5,-0.2746692657470703,100,0.2253307342529297,0.2253307342529297
HND,Honduras,1993,-0.6,-0.6326168441772461,100,-0.032616844177246085,0.032616844177246085
HND,Honduras,1994,-0.7,-0.8189680862426758,100,-0.11896808624267585,0.11896808624267585
HND,Honduras,1995,-0.9,-0.8600589370727539,100,0.039941062927246085,0.039941062927246085
HND,Honduras,1996,-0.9,-0.9953095626831054,100,-0.09530956268310542,0.09530956268310542
HND,Honduras,1997,-1.1,-1.227314567565918,100,-0.12731456756591797,0.12731456756591797
HND,Honduras,1998,-1.2,-1.4607862091064454,100,-0.26078620910644545,0.26078620910644545
HND,Honduras,1999,-1.3,-1.5605657196044922,100,-0.26056571960449215,0.26056571960449215
HND,Honduras,2000,-1.4,-1.7794187545776368,100,-0.37941875457763685,0.37941875457763685
HND,Honduras,2001,-1.6,-1.9143154907226563,100,-0.3143154907226562,0.3143154907226562
HND,Honduras,2002,-1.7,-2.2593430709838866,100,-0.5593430709838867,0.5593430709838867
HND,Honduras,2003,-2.0,-2.565760269165039,100,-0.5657602691650392,0.5657602691650392
HND,Honduras,2004,-2.1,-2.550180740356445,100,-0.45018074035644506,0.45018074035644506
HND,Honduras,2005,-2.3,-2.5232371139526366,100,-0.2232371139526368,0.2232371139526368
HND,Honduras,2006,-2.1,-2.251521339416504,100,-0.15152133941650403,0.15152133941650403
HND,Honduras,2007,-1.9,-2.058901100158691,100,-0.1589011001586913,0.1589011001586913
HND,Honduras,2008,-1.8,-1.7348057174682616,100,0.06519428253173842,0.06519428253173842
HND,Honduras,2009,-1.4,-1.493250617980957,100,-0.09325061798095713,0.09325061798095713
HND,Honduras,2010,-1.4,-1.6944377517700195,100,-0.29443775177001963,0.29443775177001963
HND,Honduras,2011,-1.3,-1.6220795440673828,100,-0.3220795440673827,0.3220795440673827
HND,Honduras,2012,-1.4,-1.4984318542480468,100,-0.0984318542480469,0.0984318542480469
HND,Honduras,2013,-1.2,-1.4132776641845703,100,-0.2132776641845704,0.2132776641845704
HND,Honduras,2014,-1.1,-0.9007994079589844,100,0.1992005920410157,0.1992005920410157
HND,Honduras,2015,-1.1,-0.8772843551635742,100,0.22271564483642592,0.22271564483642592
HND,Honduras,2016,-1.1,-1.0298261642456055,100,0.07017383575439462,0.07017383575439462
HND,Honduras,2017,-1.2,-1.0466382217407226,100,0.15336177825927733,0.15336177825927733
